 0 -631160
 288.766 -631446
 3.15051e+06 -578339
 3.19703e+06 -544555
 3.61675e+06 -520485
 3.6337e+06 -490975
 3.66526e+06 -454002
 4.7146e+06 -448527
 4.69208e+06 -425474
 4.69957e+06 -432959
 4.7193e+06 -443930
 4.72056e+06 -445139
 4.76509e+06 -474490
 4.75406e+06 -444215
 4.76338e+06 -434883
 4.7637e+06 -435191
 4.75494e+06 -426454
 4.75326e+06 -424778
 4.74578e+06 -417298
 4.7424e+06 -413897
 4.74578e+06 -417350
 4.73892e+06 -410454
 4.74198e+06 -413520
 4.74561e+06 -417140
 4.75285e+06 -424380
 4.76789e+06 -439440
 4.79093e+06 -462540
 4.80049e+06 -472005
 4.80553e+06 -460886
 4.797e+06 -452326
 4.78301e+06 -436260
 4.7479e+06 -401138
 4.72018e+06 -373430
 4.69681e+06 -350053
 4.67131e+06 -324556
 4.64928e+06 -302516
 4.64028e+06 -293529
 4.6237e+06 -276931
 4.60887e+06 -262107
 4.59381e+06 -247039
 4.58559e+06 -238820
 4.5753e+06 -228536
 4.56857e+06 -221803
 4.5661e+06 -219333
 4.56319e+06 -216421
 4.55884e+06 -212070
 4.55579e+06 -209022
 4.55163e+06 -204859
 4.54826e+06 -201491
 4.54661e+06 -199839
 4.54522e+06 -198455
 4.54759e+06 -200832
 4.63468e+06 -197319
 4.63163e+06 -194281
 4.6345e+06 -197139
 4.63123e+06 -193876
 4.62969e+06 -192340
 4.62609e+06 -188737
 4.62843e+06 -191075
 4.62725e+06 -189855
 4.62727e+06 -189879
 4.62575e+06 -188356
 4.6265e+06 -189114
 4.62485e+06 -187460
 4.62374e+06 -186354
 4.62688e+06 -189493
 4.63097e+06 -193724
 4.63346e+06 -196220
 4.63864e+06 -201393
 4.64745e+06 -210205
 4.64499e+06 -207770
 4.63827e+06 -201023
 4.6431e+06 -205865
 4.64404e+06 -206807
 4.64117e+06 -205927
 4.64353e+06 -208286
 4.64858e+06 -213323
 4.64624e+06 -210979
 4.76716e+06 -266300
 5.37804e+06 -200827
 5.37028e+06 -193060
 5.37064e+06 -193422
 5.36572e+06 -188504
 5.35859e+06 -181376
 5.35986e+06 -182649
 5.35452e+06 -177301
 5.34748e+06 -170265
 5.3471e+06 -169881
 5.33927e+06 -162053
 5.33246e+06 -155242
 5.32665e+06 -149438
 5.32322e+06 -146009
 5.32175e+06 -144539
 5.32194e+06 -144722
 5.31958e+06 -142364
 5.32021e+06 -142994
 5.31981e+06 -142596
 5.3203e+06 -143084
 5.32143e+06 -144215
 5.3232e+06 -145989
 5.32207e+06 -144853
 5.32127e+06 -144054
 5.32197e+06 -144758
 5.32398e+06 -146768
 5.32391e+06 -146696
